bin,left,right,count,wrong_count,wrong_rate,wrong_rate_se
Q1,0.003592193126678467,0.02674601674079895,297,0,0.0,0.0
Q2,0.02674601674079895,0.04137970209121704,297,5,0.016835016835016835,0.0074652052689582445
Q3,0.04137970209121704,0.054977065324783345,297,9,0.030303030303030304,0.009946787149845069
Q4,0.054977065324783345,0.07030715942382812,296,4,0.013513513513513514,0.006710947708185888
Q5,0.07030715942382812,0.08716917037963867,297,10,0.03367003367003367,0.010466615598970263
Q6,0.08716917037963867,0.10747917890548708,297,13,0.04377104377104377,0.011871242378831293
Q7,0.10747917890548708,0.13325998187065125,296,26,0.08783783783783784,0.016452465526419192
Q8,0.13325998187065125,0.1779017925262451,297,42,0.1414141414141414,0.020219018118533466
Q9,0.1779017925262451,0.3320276498794558,297,93,0.31313131313131315,0.026910507245848495
Q10,0.3320276498794558,0.9934870349243283,297,195,0.6565656565656566,0.027553877139183672
