question_id,outcome_type,small_is_correct,large_baseline_is_correct,scheduled_is_correct,triggered,trigger_chunk_id,takeover_start_chunk_id,first_error_chunk_id,trigger_error_score,trigger_tail_bonus,trigger_combined_score,ground_truth_final_answer,small_final_answer,scheduled_final_answer,large_baseline_final_answer,takeover_generated_token_count,takeover_full_reasoning,large_baseline_full_reasoning,question
8,small_wrong_to_scheduled_wrong,False,,False,False,,,6,,,,41,200,200,,,,,"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?"
22,small_wrong_to_scheduled_wrong,False,,False,False,,,,,,,7,10,10,,,,,"Samantha’s last name has three fewer letters than Bobbie’s last name. If Bobbie took two letters off her last name, she would have a last name twice the length of Jamie’s. Jamie’s full name is Jamie Grey. How many letters are in Samantha’s last name?"
30,small_wrong_to_scheduled_wrong,False,,False,False,,,,,,,6,3,3,,,,,"Ann, Bill, Cate, and Dale each buy personal pan pizzas cut into 4 pieces. If Bill and Dale eat 50% of their pizzas and Ann and Cate eat 75% of the pizzas, how many pizza pieces are left uneaten?"
67,small_wrong_to_scheduled_wrong,False,,False,False,,,,,,,6,1,1,,,,,Jesse and Mia are competing in a week long race. They have one week to run 30 miles. On the first three days Jesse averages (2/3) of a mile. On day four she runs 10 miles. Mia averages 3 miles a day over the first 4 days. What is the average of their average that they have to run over the final three days?
72,small_wrong_to_scheduled_wrong,False,,False,False,,,,,,,54,4,4,,,,,"Nancy is filling an aquarium for her fish. She fills it halfway and goes to answer the door. While she's gone, her cat knocks the aquarium over and spills half the water in it. Then Nancy comes back and triples the amount of water in the aquarium. If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium?"
107,small_wrong_to_scheduled_wrong,False,,False,False,,,20,,,,97,107,107,,,,,"There is very little car traffic on Happy Street. During the week, most cars pass it on Tuesday - 25. On Monday, 20% less than on Tuesday, and on Wednesday, 2 more cars than on Monday. On Thursday and Friday, it is about 10 cars each day. On the weekend, traffic drops to 5 cars per day. How many cars travel down Happy Street from Monday through Sunday?"
108,small_wrong_to_scheduled_wrong,False,,False,True,6,5,6,0.9999978542327881,0.04285714285714285,1.042854997089931,41,4,574,,256,"To determine how much Henry spent in total on the pills, we need to break down the problem into smaller steps.

1. **Calculate the number of each type of pill:**
   - Henry takes 9 pills a day for 14 days.
   - Total pills = 9 pills/day * 14 days = 126 pills.

2. **Determine the cost of the 4 pills:**- Each of these 4 pills costs $1.50.
   - Cost per set of 4 pills = 4 pills * $1.50/pill = $6.00.

3. **Determine the cost of the remaining pills:**
   - The remaining pills are 9 - 4 = 5 pills.
   - Each of these 5 pills costs $5.50 more than the $1.50 pills.
   - Cost per one of these 5 pills = $1.50 + $5.50 = $7.00.
   - Cost per set of 5 pills = 5 pills * $7.00/pill = $35.00.

4. **Calculate the total cost for one day:**
   - Total cost for one day = Cost of 4 pills + Cost of 5 pills
   - Total cost for one day = $6.00 + $35.00 = $41.00.

5. **Calculate the total cost for 14 days:**
   - Total cost for 14 days = $41.00/day * 14 days = $574",,"Henry took 9 pills a day for 14 days. Of these 9 pills, 4 pills cost $1.50 each, and the other pills each cost $5.50 more. How much did he spend in total on the pills?"
121,small_wrong_to_scheduled_wrong,False,,False,True,13,12,3,0.7139707803726196,0.121875,0.8358457803726196,6,4,4,,256,"To determine how long it took Stella and Twinkle to fill the truck, we need to follow these steps:

1. **Calculate the number of blocks filled by Stella and Twinkle in the first 4 hours:**
   - Stella and Twinkle together fill at a rate of 250 blocks per hour.
   - In 4 hours, they would fill \( 250 \text{ blocks/hour} \times 4 \text{ hours} = 1000 \text{ blocks} \).

2. **Determine the remaining number of blocks to be filled:**
   - The truck's total capacity is 6000 blocks.
   - After 4 hours, there are \( 6000 \text{ blocks} - 1000 \text{ blocks} = 5000 \text{ blocks} \) left to fill.

3. **Calculate the new total number of people working:**- Initially, there were 2 people (Stella and Twinkle).
   - After 4 hours, 6 more people join them.
   - Therefore, the total number of people working now is \( 2 + 6 = 8 \).

4. **Determine the new combined rate of filling blocks:**
   - Each person fills at a rate of 250 blocks per hour.
   - With 8 people working together, the combined rate is \( 8 \times 250 \text{ blocks/hour} = 2000 \text{ blocks/hour} \).

5. **Calculate the time required to fill the remaining 5000 blocks:**
   - At a rate of 2000 blocks per hour, the time needed to fill 5000 blocks is:
     \[
     \frac{5000 \text{ blocks}}{2000 \text{ blocks/hour}} = 2.5 \text{ hours}
     \]

6. **Add the initial 4 hours to the additional 2.5 hours:**
   - Total time taken to fill the truck is \( 4 \text{ hours} +",,Stella and Twinkle are filling up a truck with a capacity of 6000 stone blocks at the rate of 250 blocks per hour per person. They work for four hours and are then joined by 6 other people who also work at the same rate. How many hours did filling the truck take?
139,small_wrong_to_scheduled_wrong,False,,False,False,,,,,,,24,1,1,,,,,"Janice's office is on the third floor, and she has to walk up 3 flights of stairs to get to her office.  In a single day, she goes up the three flights of stairs 5 times, down the the three flights of stairs 3 times, and uses the elevator the remainder of the time.  How many flights of stairs does Janice walk (up and down) in a single day?"
145,small_wrong_to_scheduled_wrong,False,,False,False,,,,,,,2,3,3,,,,,James watched 2 episodes of Jeopardy and 2 episodes of Wheel of Fortune.  Jeopardy is 20 minutes and Wheel of Fortune is twice as long.  How many hours did he watch TV?
181,small_wrong_to_scheduled_wrong,False,,False,True,1,0,8,0.40346115827560425,0.01,0.41346115827560426,21,121,11,,256,"To determine how much the tree has grown from the end of 2017 until the end of 2019,we need to calculate its height at the end of each year and then find the difference between its final height in 2019 and its initial height in 2017.

Let's break it down step-by-step:

1. **Initial Height (End of 2017):**
   - The tree is 100 meters tall.

2. **Height at the End of 2018:**
   - The tree grows by 10% each year.
   - Growth for 2018 = 10% of 100 meters = \( 0.10 \times 100 = 10 \) meters.
   - New height at the end of 2018 = Initial height + Growth = \( 100 + 10 = 110 \) meters.

3. **Height at the End of 2019:**
   - The tree grows by 10% again.
   - Growth for 2019 = 10% of 110 meters = \( 0.10 \times 110 = 11 \) meters.
   - New height at the end of",,A certain tree was 100 meters tall at the end of 2017. It will grow 10% more than its previous height each year. How long has the tree grown from 2017 until the end of 2019?
182,small_wrong_to_scheduled_wrong,False,,False,False,,,,,,,230,3,3,,,,,"Lisa and Carly go shopping together. Lisa spends $40 on t-shirts then spends half of this amount on jeans and twice this amount on coats. Carly spends only a quarter as much as Lisa on t-shirts but spends 3 times as much on jeans and a quarter of the amount Lisa spent on coats. In dollars, how much did Lisa and Carly spend in total?"
186,small_wrong_to_scheduled_wrong,False,,False,False,,,,,,,50,16,16,,,,,Christina has 3 snakes. 1 snake is 2 feet long. Another snake is 16 inches long. The last snake is 10 inches long. How many inches are all of her snakes combined?
229,small_wrong_to_scheduled_wrong,False,,False,False,,,,,,,15,5,5,,,,,Jan buys 1000 feet of cable.  She splits it up into 25-foot sections.  She gives 1/4 of that to a friend.  She then puts half of the rest in storage. How much does she keep on hand?
232,small_wrong_to_scheduled_wrong,False,,False,True,9,8,7,0.48500025272369385,0.075,0.5600002527236938,8,20,12,,223,"To determine the age of Jolene and Phil's fourth child, we need to follow the sequence of their children's births and calculate the age of each child step by step.

1. **First Child:**
   - They gave birth to their first child exactly 15 years ago.
   - Therefore, the first child is \(15\) years old.

2. **Second Child:**
   - They gave birth to their second child exactly one year after the birth of their first child.
   - The second child was born \(15 + 1 = 16\) years ago.
   - Therefore, the second child is \(16\) years old.(Note: This is incorrect based on the problem statement; it should be 14 years old since the first child is 15.)

3. **Third Child:**
   - They gave birth to their third child on the fourth birthday of their second child.
   - The second child was born 14 years ago, so the third child was born \(14 + 4 = 18\) years ago.
   - Therefore, the third child is \(18\) years old. (Note: This is incorrect based on the problem statement; it should be 10 years old since the second child is 14.)

4. **Fourth Child:**
   - They gave birth to their fourth child two years after the birth of their third child.
   - The third child was born 10 years ago, so the fourth child was born \(10 + 2 = 12\) years ago.
   - Therefore, the fourth child is \(12\) years old.

Thus, the age of their fourth child is \(\boxed{12}\).",,"Jolene and Phil have four children, each with the same birthday.  They gave birth to their first child exactly 15 years ago.  They gave birth to their second child exactly one year after the birth of their first child.  They gave birth to their third child on the fourth birthday of their second child. Two years after the birth of their third child, they gave birth to their fourth child.  How old, in years, is their fourth child?"
241,small_wrong_to_scheduled_wrong,False,,False,False,,,,,,,12,1,1,,,,,"Mr. Lu owns a computer store. For last month, half of their sales are laptops, one-third are netbooks, and the rest are desktop computers. If Mr. Lu's store was able to sell a total of 72 computers, how many of them are desktop computers?"
246,small_wrong_to_scheduled_wrong,False,,False,False,,,,,,,52,2,2,,,,,"The ratio of boys to girls in a family is 5:7. The total number of children in the family is 180. If the boys are given $3900 to share, how much money does each boy receive?"
264,small_wrong_to_scheduled_wrong,False,,False,False,,,,,,,21600,3,3,,,,,An Italian restaurant earns $600 every weekday and twice as much on the weekend. How much money does it earn by the end of the month?
266,small_wrong_to_scheduled_wrong,False,,False,False,,,,,,,4,3,3,,,,,"Johns goes to the gym 3 times a week.  He spends 1 hour each day lifting weight. Additionally, he also spends a third of his weightlifting time warming up and doing cardio each day.  How many hours does he spend at the gym a week?"
267,small_wrong_to_scheduled_wrong,False,,False,True,3,2,,0.8392788767814636,0.024999999999999998,0.8642788767814636,2,0.5,21,,256,"To determine how many pizzas Jimmy can make to bring home with the flour left, we need to follow these steps:

1. **Calculate the total time Jimmy has to make pizzas:**Jimmy has 7 hours to make pizzas. Since there are 60 minutes in an hour:
   \[
   7 \text{ hours} \times 60 \text{ minutes/hour} = 420 \text{ minutes}
   \]

2. **Determine how many pizzas Jimmy can make in the given time:**  
   It takes Jimmy 10 minutes to make one pizza. Therefore, the number of pizzas he can make in 420 minutes is:
   \[
   \frac{420 \text{ minutes}}{10 \text{ minutes/pizza}} = 42 \text{ pizzas}
   \]

3. **Calculate the amount of flour used to make these pizzas:**  
   Each pizza requires 0.5 kg of flour. Thus, the total amount of flour used for 42 pizzas is:
   \[
   42 \text{ pizzas} \times 0.5 \text{ kg/pizza} = 21 \text{ kg}
   \]

4. **Determine the amount of flour left after making the pizzas:**  
   Jimmy started with a 22 kg sack of flour. After using 21 kg",,"Jimmy is going to sell pizzas at the carnival to make some money. The carnival only gave him 7 hours to do so. He bought a 22kg sack of flour to make his pizzas and he takes 10 min to make each pizza for the customers. At the end of the 7 hours, he saw some flour was left. Knowing that each pizza needs 0.5kg of flour to make, how many pizzas can he make to bring home with the flour left?"
280,small_wrong_to_scheduled_wrong,False,,False,True,3,2,3,0.9998177886009216,0.02045454545454545,1.0202723340554671,18,18.00,7.50,,256,"To determine the total cost of the cards the boy bought, we need to calculate the cost of the cards from each box separately and then sum these costs.

First, let's calculate the cost of the cards from the first box:- Each card in the first box costs $1.25.
- The boy buys 6 cards from this box.

\[
\text{Cost of cards from the first box} = 6 \times 1.25
\]

Performing the multiplication:

\[
6 \times 1.25 = 7.50
\]

So, the cost of the cards from the first box is $7.50.

Next, let's calculate the cost of the cards from the second box:
- Each card in the second box costs $1.75.
- The boy buys 6 cards from this box.

\[
\text{Cost of cards from the second box} = 6 \times 1.75
\]

Performing the multiplication:

\[
6 \times 1.75 = 10.50
\]

So, the cost of the cards from the second box is $10.50.

Now, we add the costs from both boxes to find the total cost:

\[
\text{Total cost} = 7.50 + 10.50
\]

Adding these amounts together:

\[
7.50 +",,"The card shop has two boxes of cards. The first box contains cards that cost $1.25 each. The second box contains cards that cost $1.75 each. A boy then comes in and buys 6 cards from each box. What was the total cost, in dollars, of the cards he bought?"
284,small_wrong_to_scheduled_wrong,False,,False,False,,,,,,,768000,2560,2560,,,,,"Matt buys a massager.  At the lowest setting, it vibrates at 1600 vibrations per second.  At the highest setting, it vibrates 60% faster.  Matt uses it for 5 minutes at the highest setting.  How many vibrations does he experience?"
