feature_set,question_id,chunk_id,label,positive_prob,trigger_score
combined,4,0,1,0.9993042945861816,0.0006957054138183594
combined,4,1,1,0.9965715408325195,0.0034284591674804688
combined,4,2,1,0.9890052676200867,0.01099473237991333
combined,4,3,1,0.9996229410171509,0.0003770589828491211
combined,4,4,1,0.9698524475097656,0.030147552490234375
combined,4,5,1,0.9946797490119934,0.005320250988006592
combined,4,6,1,0.9993271827697754,0.0006728172302246094
combined,4,7,1,0.9850903749465942,0.014909625053405762
combined,4,8,1,0.9855661392211914,0.014433860778808594
combined,4,9,1,0.994448184967041,0.005551815032958984
combined,4,10,1,0.9961062073707581,0.0038937926292419434
combined,4,11,1,0.9446725249290466,0.05532747507095337
combined,4,12,1,0.9983600974082947,0.0016399025917053223
combined,4,13,1,0.9986804127693176,0.001319587230682373
combined,4,14,1,0.9638826251029968,0.036117374897003174
combined,4,15,1,0.995933473110199,0.004066526889801025
combined,4,16,1,0.9988341927528381,0.0011658072471618652
combined,4,17,1,0.9961712956428528,0.003828704357147217
combined,6,0,1,0.997794508934021,0.002205491065979004
combined,6,1,1,0.9997169375419617,0.0002830624580383301
combined,6,2,1,0.9980565905570984,0.0019434094429016113
combined,6,3,1,0.9969204664230347,0.003079533576965332
combined,6,4,1,0.9993709921836853,0.0006290078163146973
combined,6,5,1,0.9979255199432373,0.0020744800567626953
combined,6,6,1,0.9688451290130615,0.031154870986938477
combined,6,7,1,0.9958187937736511,0.004181206226348877
combined,6,8,1,0.988365650177002,0.011634349822998047
combined,6,9,1,0.9970263838768005,0.002973616123199463
combined,6,10,1,0.8655326962471008,0.13446730375289917
combined,6,11,1,0.9625725746154785,0.037427425384521484
combined,6,12,1,0.998863697052002,0.0011363029479980469
combined,6,13,1,0.9994527697563171,0.0005472302436828613
combined,6,14,1,0.9929512143135071,0.00704878568649292
combined,6,15,1,0.9967492818832397,0.003250718116760254
combined,6,16,1,0.9865374565124512,0.013462543487548828
combined,13,0,1,0.9990336894989014,0.0009663105010986328
combined,13,1,1,0.9998335838317871,0.00016641616821289062
combined,13,2,1,0.9987202882766724,0.0012797117233276367
combined,13,3,1,0.9854205250740051,0.014579474925994873
combined,13,4,1,0.9775346517562866,0.02246534824371338
combined,13,5,1,0.9985156655311584,0.0014843344688415527
combined,13,6,1,0.9946616291999817,0.0053383708000183105
combined,13,7,0,0.7135207056999207,0.28647929430007935
combined,13,8,0,0.9636995196342468,0.036300480365753174
combined,13,9,0,0.9961861968040466,0.003813803195953369
combined,13,10,0,0.9870949387550354,0.0129050612449646
combined,13,11,0,0.9907069206237793,0.009293079376220703
combined,13,12,0,0.9995429515838623,0.0004570484161376953
combined,13,13,0,0.9941965341567993,0.005803465843200684
combined,13,14,1,0.9536307454109192,0.04636925458908081
combined,13,15,0,0.9623086452484131,0.037691354751586914
combined,13,16,0,0.992293119430542,0.007706880569458008
