signal,feature_spec,model,feature_dim,error_roc_auc,error_pr_auc,best_error_f1,best_error_precision,best_error_recall,best_threshold,recall_at_trigger_0p05,precision_at_trigger_0p05,recall_at_trigger_0p1,precision_at_trigger_0p1,recall_at_trigger_0p2,precision_at_trigger_0p2,label_path,label_key,classifier,random_state,test_size,train_chunks,test_chunks,train_questions,test_questions,trigger_rates
entropy,final_entropy,raw_score,1,0.543816703560883,0.24209458303985584,0.373134328358209,0.23792738808600636,0.8642765685019206,4.703857484855689e-06,0.05761843790012804,0.2542372881355932,0.10115236875800256,0.2237960339943343,0.2023047375160051,0.22411347517730495,dataset/math500_labeled_data_strict_hf_t2048.pt,label,logreg,55,0.2,14774,3525,400,100,"[0.05, 0.1, 0.2]"
neg_top1_prob,final_top1_prob,raw_score,1,0.5419987457210798,0.23584603734001297,0.3704720087815587,0.2357666783094656,0.8642765685019206,-0.9999997615814209,0.04481434058898848,0.1977401129943503,0.0973111395646607,0.21529745042492918,0.1997439180537772,0.22127659574468084,dataset/math500_labeled_data_strict_hf_t2048.pt,label,logreg,55,0.2,14774,3525,400,100,"[0.05, 0.1, 0.2]"
neg_margin,final_margin,raw_score,1,0.5407577655170355,0.23243385092974772,0.37005117155938594,0.23431105047748976,0.8796414852752881,-0.9999997615814209,0.04225352112676056,0.1864406779661017,0.10115236875800256,0.2237960339943343,0.19718309859154928,0.21843971631205675,dataset/math500_labeled_data_strict_hf_t2048.pt,label,logreg,55,0.2,14774,3525,400,100,"[0.05, 0.1, 0.2]"
entropy_logreg,entropy,logreg,1,0.5438220697095374,0.24209304883781554,0.373134328358209,0.23792738808600636,0.8642765685019206,0.4937469061663731,0.05761843790012804,0.2542372881355932,0.10115236875800256,0.2237960339943343,0.2023047375160051,0.22411347517730495,dataset/math500_labeled_data_strict_hf_t2048.pt,label,logreg,55,0.2,14774,3525,400,100,"[0.05, 0.1, 0.2]"
top1_prob_logreg,top1_prob,logreg,1,0.5419987457210798,0.23584603734001297,0.3704720087815587,0.2357666783094656,0.8642765685019206,0.4959440341941927,0.04481434058898848,0.1977401129943503,0.0973111395646607,0.21529745042492918,0.1997439180537772,0.22127659574468084,dataset/math500_labeled_data_strict_hf_t2048.pt,label,logreg,55,0.2,14774,3525,400,100,"[0.05, 0.1, 0.2]"
margin_logreg,margin,logreg,1,0.5407577655170355,0.23243385092974772,0.37005117155938594,0.23431105047748976,0.8796414852752881,0.4965547463782688,0.04225352112676056,0.1864406779661017,0.10115236875800256,0.2237960339943343,0.19718309859154928,0.21843971631205675,dataset/math500_labeled_data_strict_hf_t2048.pt,label,logreg,55,0.2,14774,3525,400,100,"[0.05, 0.1, 0.2]"
entropy+top1_prob+margin_logreg,entropy+top1_prob+margin,logreg,3,0.5507108047169846,0.24973330927610232,0.37320574162679426,0.23917748917748918,0.8489116517285531,0.49401773454134357,0.06145966709346991,0.2711864406779661,0.11523687580025609,0.254957507082153,0.21638924455825864,0.2397163120567376,dataset/math500_labeled_data_strict_hf_t2048.pt,label,logreg,55,0.2,14774,3525,400,100,"[0.05, 0.1, 0.2]"
boundary_logreg,boundary,logreg,1536,0.621750447023514,0.32596482529552273,0.39386349405134624,0.2606713634479901,0.8053777208706786,0.12447647831025602,0.09603072983354674,0.423728813559322,0.17285531370038412,0.38243626062322944,0.3175416133162612,0.3517730496453901,dataset/math500_labeled_data_strict_hf_t2048.pt,label,logreg,55,0.2,14774,3525,400,100,"[0.05, 0.1, 0.2]"
mean_logreg,mean,logreg,1536,0.6389099905555783,0.35277487333567903,0.4089965397923876,0.2802275960170697,0.7567221510883483,0.13369101140418635,0.11395646606914213,0.5028248587570622,0.1997439180537772,0.44192634560906513,0.3265044814340589,0.3617021276595745,dataset/math500_labeled_data_strict_hf_t2048.pt,label,logreg,55,0.2,14774,3525,400,100,"[0.05, 0.1, 0.2]"
boundary+mean_logreg,boundary+mean,logreg,3072,0.6047565541673043,0.32024646717665683,0.3847133757961783,0.2560406952098347,0.7733674775928298,0.001112809464081663,0.10115236875800256,0.4463276836158192,0.17285531370038412,0.38243626062322944,0.30985915492957744,0.3432624113475177,dataset/math500_labeled_data_strict_hf_t2048.pt,label,logreg,55,0.2,14774,3525,400,100,"[0.05, 0.1, 0.2]"
