question_id,chunks,final_correct,error_chunks,error_fraction,first_error_chunk_id,first_error_index,zero_to_one_flip,transition_pattern,judge_confidence_mean,judge_confidence_min,low_confidence_chunks_lt_0p6
0,16,True,0,0.0,,,False,constant,1.0,1.0,0
1,16,True,0,0.0,,,False,constant,1.0,1.0,0
2,29,True,0,0.0,,,False,constant,1.0,1.0,0
3,14,True,0,0.0,,,False,constant,1.0,1.0,0
4,17,True,0,0.0,,,False,constant,1.0,1.0,0
5,26,True,0,0.0,,,False,constant,1.0,1.0,0
6,17,True,0,0.0,,,False,constant,1.0,1.0,0
7,19,True,0,0.0,,,False,constant,1.0,1.0,0
8,31,True,1,0.03225806451612903,6,6,True,"1->0,0->1",1.0,1.0,0
9,24,True,0,0.0,,,False,constant,1.0,1.0,0
10,46,False,33,0.717391304347826,13,13,False,1->0,0.9869565217391305,0.9,0
11,43,False,20,0.46511627906976744,23,23,False,1->0,0.9720930232558139,0.9,0
12,17,True,0,0.0,,,False,constant,1.0,1.0,0
13,20,False,16,0.8,4,4,False,1->0,0.9899999999999999,0.9,0
14,25,True,0,0.0,,,False,constant,1.0,1.0,0
15,29,False,17,0.5862068965517241,4,4,True,"1->0,0->1,1->0",0.9655172413793103,0.9,0
16,28,False,17,0.6071428571428571,11,11,False,1->0,0.9392857142857141,0.9,0
17,28,False,9,0.32142857142857145,4,4,True,"1->0,0->1,1->0",0.9714285714285713,0.9,0
18,19,False,13,0.6842105263157895,6,6,False,1->0,0.9421052631578944,0.9,0
19,20,True,0,0.0,,,False,constant,1.0,1.0,0
20,21,True,0,0.0,,,False,constant,1.0,1.0,0
21,22,True,1,0.045454545454545456,3,3,True,"1->0,0->1",1.0,1.0,0
22,14,False,9,0.6428571428571429,5,5,False,1->0,0.9857142857142858,0.9,0
23,28,False,8,0.2857142857142857,20,20,False,1->0,1.0,1.0,0
24,12,True,0,0.0,,,False,constant,1.0,1.0,0
25,14,True,0,0.0,,,False,constant,1.0,1.0,0
26,20,True,0,0.0,,,False,constant,1.0,1.0,0
27,29,True,0,0.0,,,False,constant,1.0,1.0,0
28,15,True,0,0.0,,,False,constant,1.0,1.0,0
29,39,True,3,0.07692307692307693,20,20,True,"1->0,0->1,1->0,0->1,1->0,0->1",1.0,1.0,0
30,30,True,0,0.0,,,False,constant,1.0,1.0,0
31,17,True,0,0.0,,,False,constant,1.0,1.0,0
32,23,True,0,0.0,,,False,constant,1.0,1.0,0
33,28,True,8,0.2857142857142857,20,20,False,1->0,0.9785714285714284,0.9,0
34,14,True,0,0.0,,,False,constant,1.0,1.0,0
35,23,True,0,0.0,,,False,constant,1.0,1.0,0
36,11,True,0,0.0,,,False,constant,1.0,1.0,0
37,34,True,3,0.08823529411764706,9,9,True,"1->0,0->1,1->0,0->1,1->0,0->1",1.0,1.0,0
38,20,False,8,0.4,10,10,True,"1->0,0->1,1->0",0.9599999999999997,0.9,0
39,16,True,0,0.0,,,False,constant,1.0,1.0,0
40,20,False,11,0.55,0,0,True,"0->1,1->0",0.9799999999999999,0.9,0
41,16,True,0,0.0,,,False,constant,1.0,1.0,0
