trace,threshold,boxed_questions,boxed_rescues,boxed_harms,boxed_preserved,boxed_still_wrong,tail_questions,suspicious_questions,suspicious_rescues,suspicious_harms,scheduled_accuracy,gain,cost
observe_rollback_traces_mixed_fixed4_sweep015_050_gsm8k_test.json,0.15,41,8,0,28,5,12,49,10,0,0.85,0.16,1497.895
observe_rollback_traces_mixed_fixed4_sweep015_050_gsm8k_test.json,0.2,36,6,2,22,6,14,44,8,2,0.83,0.14,1412.6083333333333
observe_rollback_traces_mixed_fixed4_sweep015_050_gsm8k_test.json,0.25,29,5,4,15,5,18,42,7,4,0.8066666666666666,0.11666666666666667,1320.1616666666666
observe_rollback_traces_mixed_fixed4_sweep015_050_gsm8k_test.json,0.3,21,3,3,9,6,21,39,5,3,0.8033333333333333,0.11333333333333333,1235.32
observe_rollback_traces_mixed_fixed4_sweep015_050_gsm8k_test.json,0.35,25,3,3,12,7,25,43,4,3,0.79,0.1,1144.19
observe_rollback_traces_mixed_fixed4_sweep015_050_gsm8k_test.json,0.4,21,3,1,9,8,25,41,4,1,0.78,0.09,1017.61
observe_rollback_traces_mixed_fixed4_sweep015_050_gsm8k_test.json,0.45,13,3,1,4,5,30,42,5,3,0.7833333333333333,0.09333333333333334,871.1116666666667
observe_rollback_traces_mixed_fixed4_sweep015_050_gsm8k_test.json,0.5,9,0,1,4,4,35,41,2,3,0.7533333333333333,0.06333333333333334,762.5833333333334
observe_rollback_traces_mixed_fixed4_sweep015_050_svamp_test.json,0.15,51,4,2,44,1,21,61,4,2,0.89,0.08666666666666667,947.6566666666666
observe_rollback_traces_mixed_fixed4_sweep015_050_svamp_test.json,0.2,55,3,1,47,4,18,61,3,1,0.8933333333333333,0.09,865.91
observe_rollback_traces_mixed_fixed4_sweep015_050_svamp_test.json,0.25,55,5,1,44,5,21,61,5,1,0.8866666666666667,0.08333333333333333,787.7583333333333
observe_rollback_traces_mixed_fixed4_sweep015_050_svamp_test.json,0.3,40,3,0,32,5,21,49,3,0,0.8866666666666667,0.08333333333333333,734.005
observe_rollback_traces_mixed_fixed4_sweep015_050_svamp_test.json,0.35,42,4,0,33,5,26,52,4,0,0.8866666666666667,0.08333333333333333,673.7683333333333
observe_rollback_traces_mixed_fixed4_sweep015_050_svamp_test.json,0.4,36,5,1,24,6,21,47,6,1,0.8833333333333333,0.08,616.9133333333333
observe_rollback_traces_mixed_fixed4_sweep015_050_svamp_test.json,0.45,23,4,1,14,4,19,35,5,2,0.87,0.06666666666666667,561.6966666666667
observe_rollback_traces_mixed_fixed4_sweep015_050_svamp_test.json,0.5,15,2,1,9,3,21,28,3,1,0.86,0.056666666666666664,513.8816666666667
observe_rollback_traces_mixed_dynamic2to4_sweep020_045_gsm8k_test.json,0.2,39,5,0,27,7,21,53,8,0,0.8266666666666667,0.13666666666666666,1313.5283333333334
observe_rollback_traces_mixed_dynamic2to4_sweep020_045_gsm8k_test.json,0.3,23,5,2,10,6,26,43,7,2,0.8,0.11,1172.8716666666667
observe_rollback_traces_mixed_dynamic2to4_sweep020_045_gsm8k_test.json,0.35,24,4,2,12,6,28,44,5,2,0.78,0.09,1085.6016666666667
observe_rollback_traces_mixed_dynamic2to4_sweep020_045_gsm8k_test.json,0.4,23,6,0,10,7,29,44,7,0,0.7733333333333333,0.08333333333333333,981.9466666666667
observe_rollback_traces_mixed_dynamic2to4_sweep020_045_gsm8k_test.json,0.45,15,5,0,5,5,36,46,7,2,0.7766666666666666,0.08666666666666667,850.9016666666666
observe_rollback_traces_mixed_dynamic2to4_sweep020_045_svamp_test.json,0.2,56,4,1,47,4,13,60,4,1,0.8833333333333333,0.08,819.41
observe_rollback_traces_mixed_dynamic2to4_sweep020_045_svamp_test.json,0.3,44,6,0,34,4,21,51,6,0,0.88,0.07666666666666666,707.7716666666666
observe_rollback_traces_mixed_dynamic2to4_sweep020_045_svamp_test.json,0.35,44,5,0,34,5,26,53,5,0,0.8833333333333333,0.08,650.0583333333333
observe_rollback_traces_mixed_dynamic2to4_sweep020_045_svamp_test.json,0.4,35,5,1,23,6,21,47,6,1,0.88,0.07666666666666666,589.7266666666667
observe_rollback_traces_mixed_dynamic2to4_sweep020_045_svamp_test.json,0.45,21,2,1,14,4,16,32,3,2,0.87,0.06666666666666667,540.9083333333333
