question_id,chunks,final_correct,error_chunks,error_fraction,first_error_chunk_id,first_error_index,zero_to_one_flip,transition_pattern,judge_confidence_mean,judge_confidence_min,low_confidence_chunks_lt_0p6
0,10,True,0,0.0,,,False,constant,1.0,1.0,0
1,10,True,0,0.0,,,False,constant,1.0,1.0,0
2,8,False,3,0.375,5,5,False,1->0,0.98125,0.95,0
3,7,True,0,0.0,,,False,constant,1.0,1.0,0
4,13,False,12,0.9230769230769231,1,1,False,1->0,0.9538461538461536,0.95,0
5,21,False,19,0.9047619047619048,2,2,False,1->0,0.9547619047619046,0.95,0
6,9,True,0,0.0,,,False,constant,1.0,1.0,0
7,9,False,6,0.6666666666666666,3,3,False,1->0,0.9666666666666666,0.95,0
8,10,False,3,0.3,7,7,False,1->0,0.985,0.95,0
9,9,True,0,0.0,,,False,constant,1.0,1.0,0
10,9,False,5,0.5555555555555556,4,4,False,1->0,0.9722222222222222,0.95,0
11,10,True,0,0.0,,,False,constant,1.0,1.0,0
12,8,False,7,0.875,1,1,False,1->0,0.9375,0.9,0
13,16,False,7,0.4375,9,9,False,1->0,0.9781249999999999,0.95,0
14,7,True,0,0.0,,,False,constant,1.0,1.0,0
15,14,False,2,0.14285714285714285,12,12,False,1->0,0.9928571428571428,0.95,0
16,15,False,11,0.7333333333333333,4,4,False,1->0,0.9333333333333335,0.9,0
17,11,True,0,0.0,,,False,constant,1.0,1.0,0
18,10,True,0,0.0,,,False,constant,1.0,1.0,0
19,12,True,0,0.0,,,False,constant,1.0,1.0,0
