question_id,chunks,final_correct,error_chunks,error_fraction,first_error_chunk_id,first_error_index,zero_to_one_flip,transition_pattern,judge_confidence_mean,judge_confidence_min,low_confidence_chunks_lt_0p6
0,28,True,9,0.32142857142857145,4,4,True,"1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1",0.8392857142857143,0.5,9
1,31,True,8,0.25806451612903225,5,5,True,"1->0,0->1,1->0,0->1,1->0,0->1",0.8709677419354839,0.5,8
2,28,True,7,0.25,5,5,True,"1->0,0->1,1->0,0->1",0.875,0.5,7
3,33,True,0,0.0,,,False,constant,1.0,1.0,0
4,54,False,3,0.05555555555555555,5,5,True,"1->0,0->1,1->0,0->1",0.9944444444444444,0.9,0
5,19,True,0,0.0,,,False,constant,1.0,1.0,0
6,38,True,1,0.02631578947368421,12,12,True,"1->0,0->1",0.9868421052631579,0.5,1
7,28,True,0,0.0,,,False,constant,1.0,1.0,0
8,28,True,0,0.0,,,False,constant,1.0,1.0,0
9,107,False,10,0.09345794392523364,23,23,True,"1->0,0->1,1->0,0->1,1->0,0->1,1->0",0.9817757009345796,0.5,2
10,21,True,1,0.047619047619047616,9,9,True,"1->0,0->1",0.9952380952380951,0.9,0
11,70,False,19,0.2714285714285714,5,5,True,"1->0,0->1,1->0,0->1,1->0",0.8621428571428572,0.5,19
12,46,True,3,0.06521739130434782,9,9,True,"1->0,0->1,1->0,0->1,1->0,0->1",0.9891304347826086,0.5,1
13,19,True,0,0.0,,,False,constant,1.0,1.0,0
14,18,False,11,0.6111111111111112,0,0,True,"0->1,1->0,0->1,1->0,0->1,1->0",0.9388888888888888,0.5,1
15,37,True,8,0.21621621621621623,0,0,True,"0->1,1->0,0->1,1->0,0->1",0.9027027027027027,0.5,7
16,12,True,0,0.0,,,False,constant,1.0,1.0,0
17,36,False,4,0.1111111111111111,32,32,False,1->0,0.9444444444444444,0.5,4
18,34,False,3,0.08823529411764706,31,31,False,1->0,0.9794117647058823,0.5,1
19,75,True,0,0.0,,,False,constant,0.9953333333333334,0.95,0
20,16,True,1,0.0625,5,5,True,"1->0,0->1",1.0,1.0,0
21,44,True,3,0.06818181818181818,3,3,True,"1->0,0->1,1->0,0->1",0.9659090909090909,0.5,3
22,90,False,59,0.6555555555555556,0,0,True,"0->1,1->0,0->1,1->0",0.7977777777777779,0.5,31
23,52,True,2,0.038461538461538464,46,46,True,"1->0,0->1",1.0,1.0,0
24,43,True,0,0.0,,,False,constant,1.0,1.0,0
25,66,False,38,0.5757575757575758,6,6,True,"1->0,0->1,1->0,0->1,1->0",0.7242424242424242,0.5,36
26,50,True,24,0.48,26,26,False,1->0,0.9519999999999998,0.9,0
27,30,True,0,0.0,,,False,constant,1.0,1.0,0
28,18,True,7,0.3888888888888889,2,2,True,"1->0,0->1,1->0,0->1,1->0,0->1",0.8055555555555556,0.5,7
29,34,True,4,0.11764705882352941,0,0,True,0->1,0.9882352941176471,0.9,0
30,20,True,0,0.0,,,False,constant,1.0,1.0,0
31,25,True,0,0.0,,,False,constant,1.0,1.0,0
32,30,True,0,0.0,,,False,constant,1.0,1.0,0
33,33,False,6,0.18181818181818182,2,2,True,"1->0,0->1,1->0,0->1,1->0",0.9696969696969697,0.5,1
34,48,True,4,0.08333333333333333,3,3,True,"1->0,0->1,1->0,0->1",0.9583333333333334,0.5,4
35,27,True,5,0.18518518518518517,2,2,True,"1->0,0->1,1->0,0->1,1->0,0->1",0.9407407407407407,0.5,3
36,52,True,2,0.038461538461538464,3,3,True,"1->0,0->1,1->0,0->1",0.9807692307692307,0.5,2
37,19,True,0,0.0,,,False,constant,1.0,1.0,0
38,17,True,2,0.11764705882352941,5,5,True,"1->0,0->1,1->0,0->1",1.0,1.0,0
39,43,True,0,0.0,,,False,constant,1.0,1.0,0
40,19,True,0,0.0,,,False,constant,1.0,1.0,0
41,41,False,13,0.3170731707317073,28,28,False,1->0,0.9829268292682928,0.9,0
42,28,True,2,0.07142857142857142,9,9,True,"1->0,0->1,1->0,0->1",0.9642857142857143,0.5,2
43,38,False,5,0.13157894736842105,13,13,True,"1->0,0->1,1->0",0.9868421052631577,0.9,0
44,27,True,0,0.0,,,False,constant,1.0,1.0,0
45,24,True,0,0.0,,,False,constant,1.0,1.0,0
46,58,True,3,0.05172413793103448,6,6,True,"1->0,0->1",0.9741379310344828,0.5,3
47,22,True,0,0.0,,,False,constant,1.0,1.0,0
48,22,True,0,0.0,,,False,constant,1.0,1.0,0
49,27,True,2,0.07407407407407407,15,15,True,"1->0,0->1",0.9629629629629629,0.5,2
50,36,True,1,0.027777777777777776,1,1,True,"1->0,0->1",0.9861111111111112,0.5,1
51,36,True,0,0.0,,,False,constant,1.0,1.0,0
52,46,True,6,0.13043478260869565,17,17,True,"1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1",0.9782608695652174,0.5,2
53,19,True,11,0.5789473684210527,2,2,True,"1->0,0->1,1->0,0->1,1->0",0.7105263157894737,0.5,11
54,23,True,2,0.08695652173913043,6,6,True,"1->0,0->1,1->0,0->1",0.9956521739130434,0.9,0
55,23,True,9,0.391304347826087,0,0,True,"0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0",0.8043478260869565,0.5,9
56,14,True,6,0.42857142857142855,1,1,True,"1->0,0->1,1->0,0->1",0.7857142857142857,0.5,6
57,18,True,4,0.2222222222222222,6,6,True,"1->0,0->1,1->0,0->1",0.8888888888888888,0.5,4
58,10,False,8,0.8,2,2,False,1->0,0.6,0.5,8
59,23,True,0,0.0,,,False,constant,1.0,1.0,0
60,54,False,11,0.2037037037037037,12,12,True,"1->0,0->1,1->0",0.9648148148148145,0.8,0
61,26,True,0,0.0,,,False,constant,1.0,1.0,0
62,35,False,8,0.22857142857142856,7,7,True,"1->0,0->1,1->0,0->1,1->0,0->1,1->0",0.9542857142857143,0.5,2
63,33,False,11,0.3333333333333333,2,2,True,"1->0,0->1,1->0,0->1,1->0,0->1,1->0",0.8606060606060606,0.5,9
64,40,False,22,0.55,0,0,True,"0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0",0.795,0.5,15
65,15,True,0,0.0,,,False,constant,1.0,1.0,0
66,29,True,0,0.0,,,False,constant,1.0,1.0,0
67,28,False,5,0.17857142857142858,5,5,True,"1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1",0.9928571428571429,0.9,0
68,49,False,9,0.1836734693877551,30,30,True,"1->0,0->1,1->0,0->1,1->0,0->1,1->0",0.9051020408163264,0.5,9
69,22,True,7,0.3181818181818182,1,1,True,"1->0,0->1",0.8409090909090909,0.5,7
70,34,True,2,0.058823529411764705,12,12,True,"1->0,0->1",0.9705882352941176,0.5,2
71,23,True,0,0.0,,,False,constant,1.0,1.0,0
72,27,True,0,0.0,,,False,constant,1.0,1.0,0
73,20,True,2,0.1,2,2,True,"1->0,0->1",0.95,0.5,2
74,28,True,2,0.07142857142857142,2,2,True,"1->0,0->1,1->0,0->1",0.9642857142857143,0.5,2
75,36,True,0,0.0,,,False,constant,1.0,1.0,0
76,11,True,6,0.5454545454545454,5,5,False,1->0,0.7272727272727273,0.5,6
77,16,True,0,0.0,,,False,constant,1.0,1.0,0
78,33,True,11,0.3333333333333333,0,0,True,"0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1",0.8333333333333334,0.5,11
79,24,True,3,0.125,3,3,True,"1->0,0->1,1->0,0->1,1->0,0->1",0.9375,0.5,3
80,56,False,10,0.17857142857142858,0,0,True,"0->1,1->0,0->1,1->0,0->1,1->0",0.9839285714285715,0.9,0
81,27,True,0,0.0,,,False,constant,1.0,1.0,0
82,26,False,7,0.2692307692307692,19,19,False,1->0,0.9576923076923076,0.5,1
83,34,True,3,0.08823529411764706,1,1,True,"1->0,0->1",0.9558823529411765,0.5,3
84,45,True,5,0.1111111111111111,9,9,True,"1->0,0->1,1->0,0->1",0.9444444444444444,0.5,5
85,38,True,0,0.0,,,False,constant,1.0,1.0,0
86,24,True,0,0.0,,,False,constant,1.0,1.0,0
87,44,True,0,0.0,,,False,constant,1.0,1.0,0
88,75,True,8,0.10666666666666667,0,0,True,"0->1,1->0,0->1,1->0,0->1,1->0,0->1",0.9466666666666667,0.5,8
89,38,False,21,0.5526315789473685,13,13,True,"1->0,0->1,1->0,0->1,1->0",0.9499999999999996,0.9,0
90,14,True,0,0.0,,,False,constant,1.0,1.0,0
91,35,False,10,0.2857142857142857,10,10,True,"1->0,0->1,1->0,0->1,1->0,0->1,1->0",0.8942857142857144,0.5,7
92,31,False,1,0.03225806451612903,10,10,True,"1->0,0->1",0.9838709677419355,0.5,1
93,41,True,24,0.5853658536585366,0,0,True,"0->1,1->0,0->1,1->0,0->1,1->0,0->1",0.8024390243902441,0.5,15
94,49,False,31,0.6326530612244898,17,17,True,"1->0,0->1,1->0",0.8755102040816326,0.5,8
95,34,True,3,0.08823529411764706,0,0,True,"0->1,1->0,0->1,1->0,0->1",0.9705882352941176,0.5,2
96,91,False,22,0.24175824175824176,13,13,True,"1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0",0.9565934065934065,0.5,4
97,14,True,2,0.14285714285714285,4,4,True,"1->0,0->1",0.9857142857142858,0.9,0
98,19,True,0,0.0,,,False,constant,1.0,1.0,0
99,46,False,3,0.06521739130434782,1,1,True,"1->0,0->1,1->0,0->1",0.967391304347826,0.5,3
100,20,False,8,0.4,12,12,False,1->0,0.9699999999999998,0.9,0
101,61,False,48,0.7868852459016393,9,9,True,"1->0,0->1,1->0",0.921311475409836,0.9,0
102,18,True,0,0.0,,,False,constant,1.0,1.0,0
103,107,False,47,0.4392523364485981,0,0,True,"0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0",0.7757009345794392,0.5,47
104,33,False,6,0.18181818181818182,22,22,True,"1->0,0->1,1->0",0.9818181818181818,0.9,0
105,34,False,28,0.8235294117647058,3,3,True,"1->0,0->1,1->0",0.9411764705882352,0.9,0
106,13,False,1,0.07692307692307693,2,2,True,"1->0,0->1",0.9615384615384616,0.5,1
107,40,True,8,0.2,9,9,True,"1->0,0->1,1->0,0->1",0.9850000000000001,0.9,0
108,50,True,31,0.62,8,8,True,"1->0,0->1,1->0",0.718,0.5,28
109,76,False,16,0.21052631578947367,3,3,True,"1->0,0->1,1->0,0->1,1->0,0->1,1->0",0.9421052631578947,0.5,7
110,89,False,45,0.5056179775280899,0,0,True,"0->1,1->0",0.7561797752808989,0.5,43
111,47,True,0,0.0,,,False,constant,1.0,1.0,0
112,39,True,0,0.0,,,False,constant,1.0,1.0,0
113,20,True,0,0.0,,,False,constant,1.0,1.0,0
114,43,True,1,0.023255813953488372,29,29,True,"1->0,0->1",0.9883720930232558,0.5,1
115,56,False,56,1.0,0,0,False,constant,0.9553571428571429,0.9,0
116,23,True,1,0.043478260869565216,12,12,True,"1->0,0->1",1.0,1.0,0
117,28,True,0,0.0,,,False,constant,1.0,1.0,0
118,69,True,0,0.0,,,False,constant,1.0,1.0,0
119,38,True,1,0.02631578947368421,15,15,True,"1->0,0->1",0.9973684210526316,0.9,0
120,54,False,2,0.037037037037037035,52,52,False,1->0,0.9814814814814815,0.5,2
121,24,True,0,0.0,,,False,constant,1.0,1.0,0
122,23,True,1,0.043478260869565216,0,0,True,0->1,0.991304347826087,0.8,0
123,74,False,50,0.6756756756756757,2,2,True,"1->0,0->1,1->0,0->1,1->0,0->1,1->0",0.9040540540540544,0.5,7
124,52,True,4,0.07692307692307693,17,17,True,"1->0,0->1",0.9615384615384616,0.5,4
125,34,True,9,0.2647058823529412,5,5,True,"1->0,0->1,1->0,0->1,1->0,0->1",0.8794117647058823,0.5,8
126,50,False,12,0.24,7,7,True,"1->0,0->1,1->0,0->1,1->0",0.8759999999999999,0.5,12
127,22,False,0,0.0,,,False,constant,1.0,1.0,0
128,15,True,0,0.0,,,False,constant,1.0,1.0,0
129,32,False,0,0.0,,,False,constant,1.0,1.0,0
130,22,True,2,0.09090909090909091,0,0,True,"0->1,1->0,0->1",0.9727272727272727,0.5,1
131,44,True,24,0.5454545454545454,2,2,True,"1->0,0->1,1->0,0->1,1->0,0->1",0.7272727272727273,0.5,24
132,26,True,0,0.0,,,False,constant,1.0,1.0,0
133,24,True,0,0.0,,,False,constant,1.0,1.0,0
134,56,True,1,0.017857142857142856,12,12,True,"1->0,0->1",1.0,1.0,0
135,36,True,7,0.19444444444444445,4,4,True,"1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1",0.9027777777777778,0.5,7
136,48,True,3,0.0625,21,21,True,"1->0,0->1,1->0,0->1",0.9770833333333333,0.5,2
137,26,True,1,0.038461538461538464,8,8,True,"1->0,0->1",0.9807692307692307,0.5,1
138,58,False,3,0.05172413793103448,55,55,False,1->0,0.9948275862068965,0.9,0
139,47,True,2,0.0425531914893617,6,6,True,"1->0,0->1,1->0,0->1",0.9787234042553191,0.5,2
140,33,True,3,0.09090909090909091,2,2,True,"1->0,0->1",0.9545454545454546,0.5,3
141,23,True,0,0.0,,,False,constant,1.0,1.0,0
142,28,True,0,0.0,,,False,constant,1.0,1.0,0
143,41,True,4,0.0975609756097561,2,2,True,"1->0,0->1",0.9512195121951219,0.5,4
144,19,True,8,0.42105263157894735,6,6,True,"1->0,0->1,1->0,0->1,1->0,0->1,1->0",0.7894736842105263,0.5,8
145,55,True,35,0.6363636363636364,1,1,True,"1->0,0->1,1->0,0->1,1->0,0->1,1->0",0.7163636363636364,0.5,30
146,17,True,0,0.0,,,False,constant,1.0,1.0,0
147,62,False,15,0.24193548387096775,13,13,True,"1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0",0.9435483870967741,0.5,5
148,24,True,0,0.0,,,False,constant,1.0,1.0,0
149,48,True,9,0.1875,1,1,True,"1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1",0.90625,0.5,9
150,133,False,40,0.3007518796992481,2,2,True,"1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0",0.849624060150376,0.5,40
151,33,True,0,0.0,,,False,constant,1.0,1.0,0
152,36,True,22,0.6111111111111112,0,0,True,"0->1,1->0,0->1,1->0,0->1,1->0,0->1,1->0",0.7277777777777777,0.5,19
153,36,True,0,0.0,,,False,constant,1.0,1.0,0
154,44,False,6,0.13636363636363635,9,9,True,"1->0,0->1,1->0,0->1,1->0",0.9772727272727273,0.5,1
155,29,True,2,0.06896551724137931,14,14,True,"1->0,0->1,1->0,0->1",0.9655172413793104,0.5,2
156,53,False,26,0.49056603773584906,1,1,True,"1->0,0->1,1->0,0->1,1->0,0->1,1->0",0.7716981132075473,0.5,23
157,24,False,6,0.25,0,0,True,"0->1,1->0,0->1",0.9125,0.5,4
158,46,True,3,0.06521739130434782,8,8,True,"1->0,0->1,1->0,0->1,1->0,0->1",0.9934782608695653,0.9,0
159,49,True,2,0.04081632653061224,13,13,True,"1->0,0->1,1->0,0->1",1.0,1.0,0
160,26,True,2,0.07692307692307693,1,1,True,"1->0,0->1",0.9615384615384616,0.5,2
