bin,left,right,count,correct_count,wrong_count,correct_rate,wrong_rate
Q1,3.5263128665974364e-05,0.022001935541629786,297,243,54,0.8181818181818182,0.18181818181818182
Q2,0.022001935541629786,0.06254075914621353,297,259,38,0.8720538720538721,0.12794612794612795
Q3,0.06254075914621353,0.10166745483875278,297,258,39,0.8686868686868687,0.13131313131313133
Q4,0.10166745483875278,0.13403225243091582,296,255,41,0.8614864864864865,0.13851351351351351
Q5,0.13403225243091582,0.17293418943881989,297,268,29,0.9023569023569024,0.09764309764309764
Q6,0.17293418943881989,0.20974757671356203,297,261,36,0.8787878787878788,0.12121212121212122
Q7,0.20974757671356203,0.2538215607404709,296,261,35,0.8817567567567568,0.11824324324324324
Q8,0.2538215607404709,0.30839474201202394,297,261,36,0.8787878787878788,0.12121212121212122
Q9,0.30839474201202394,0.40387656688690193,297,255,42,0.8585858585858586,0.1414141414141414
Q10,0.40387656688690193,1.3540372848510742,297,250,47,0.8417508417508418,0.15824915824915825
