question_id,chunks,final_correct,error_chunks,error_fraction,first_error_chunk_id,first_error_index,zero_to_one_flip,transition_pattern,judge_confidence_mean,judge_confidence_min,low_confidence_chunks_lt_0p6
0,10,False,0,0.0,,,False,constant,1.0,1.0,0
1,10,False,0,0.0,,,False,constant,1.0,1.0,0
2,8,False,0,0.0,,,False,constant,1.0,1.0,0
3,7,False,0,0.0,,,False,constant,1.0,1.0,0
4,13,False,0,0.0,,,False,constant,1.0,1.0,0
5,20,False,0,0.0,,,False,constant,1.0,1.0,0
6,9,False,0,0.0,,,False,constant,1.0,1.0,0
7,9,False,0,0.0,,,False,constant,1.0,1.0,0
8,10,False,0,0.0,,,False,constant,1.0,1.0,0
9,9,False,0,0.0,,,False,constant,1.0,1.0,0
10,9,False,0,0.0,,,False,constant,1.0,1.0,0
11,10,False,0,0.0,,,False,constant,1.0,1.0,0
12,8,False,7,0.875,1,1,False,1->0,0.9375,0.9,0
13,16,False,0,0.0,,,False,constant,1.0,1.0,0
14,7,False,0,0.0,,,False,constant,1.0,1.0,0
15,14,False,0,0.0,,,False,constant,1.0,1.0,0
16,15,False,11,0.7333333333333333,4,4,False,1->0,0.9333333333333335,0.9,0
17,11,False,0,0.0,,,False,constant,1.0,1.0,0
18,10,False,0,0.0,,,False,constant,1.0,1.0,0
19,12,False,0,0.0,,,False,constant,1.0,1.0,0
