question_id,outcome_type,small_is_correct,large_baseline_is_correct,scheduled_is_correct,triggered,trigger_chunk_id,takeover_start_chunk_id,first_error_chunk_id,trigger_error_score,ground_truth_final_answer,small_final_answer,scheduled_final_answer,large_baseline_final_answer,takeover_generated_token_count,question
8,small_wrong_to_scheduled_wrong,False,,False,False,,,6,,41,200,200,,,"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?"
22,small_wrong_to_scheduled_wrong,False,,False,False,,,,,7,10,10,,,"Samantha’s last name has three fewer letters than Bobbie’s last name. If Bobbie took two letters off her last name, she would have a last name twice the length of Jamie’s. Jamie’s full name is Jamie Grey. How many letters are in Samantha’s last name?"
30,small_wrong_to_scheduled_wrong,False,,False,False,,,,,6,3,3,,,"Ann, Bill, Cate, and Dale each buy personal pan pizzas cut into 4 pieces. If Bill and Dale eat 50% of their pizzas and Ann and Cate eat 75% of the pizzas, how many pizza pieces are left uneaten?"
67,small_wrong_to_scheduled_wrong,False,,False,False,,,,,6,1,1,,,Jesse and Mia are competing in a week long race. They have one week to run 30 miles. On the first three days Jesse averages (2/3) of a mile. On day four she runs 10 miles. Mia averages 3 miles a day over the first 4 days. What is the average of their average that they have to run over the final three days?
72,small_wrong_to_scheduled_wrong,False,,False,False,,,,,54,4,4,,,"Nancy is filling an aquarium for her fish. She fills it halfway and goes to answer the door. While she's gone, her cat knocks the aquarium over and spills half the water in it. Then Nancy comes back and triples the amount of water in the aquarium. If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium?"
107,small_wrong_to_scheduled_wrong,False,,False,False,,,20,,97,107,107,,,"There is very little car traffic on Happy Street. During the week, most cars pass it on Tuesday - 25. On Monday, 20% less than on Tuesday, and on Wednesday, 2 more cars than on Monday. On Thursday and Friday, it is about 10 cars each day. On the weekend, traffic drops to 5 cars per day. How many cars travel down Happy Street from Monday through Sunday?"
108,small_wrong_to_scheduled_wrong,False,,False,True,6,5,6,0.9999978542327881,41,4,4,,256,"Henry took 9 pills a day for 14 days. Of these 9 pills, 4 pills cost $1.50 each, and the other pills each cost $5.50 more. How much did he spend in total on the pills?"
116,small_wrong_to_scheduled_wrong,False,,False,True,10,9,12,0.9525418877601624,21,20,10,,13,"Valerie needs to put stamps on the envelopes she is about to mail. She has thank you cards for each of her grandmother, uncle and aunt for the birthday presents they sent. She also has to pay the water bill and the electric bill separately. She wants to send three more mail-in rebates than she does bills and she has twice as many job applications as rebates to mail. How many stamps does she need if everything needs 1 stamp except the electric bill, which needs 2?"
139,small_wrong_to_scheduled_wrong,False,,False,False,,,,,24,1,1,,,"Janice's office is on the third floor, and she has to walk up 3 flights of stairs to get to her office.  In a single day, she goes up the three flights of stairs 5 times, down the the three flights of stairs 3 times, and uses the elevator the remainder of the time.  How many flights of stairs does Janice walk (up and down) in a single day?"
143,small_wrong_to_scheduled_wrong,False,,False,True,10,9,,0.2804427146911621,45,0.75,0,,36,"Toby is counting goldfish in the local pond. He knows that only 25% of goldfish are at the surface and the rest are too deep below the surface to be able to see. If he counts 15 goldfish, how many are below the surface?"
145,small_wrong_to_scheduled_wrong,False,,False,False,,,,,2,3,3,,,James watched 2 episodes of Jeopardy and 2 episodes of Wheel of Fortune.  Jeopardy is 20 minutes and Wheel of Fortune is twice as long.  How many hours did he watch TV?
181,small_wrong_to_scheduled_wrong,False,,False,True,1,0,8,0.40346115827560425,21,121,110,,256,A certain tree was 100 meters tall at the end of 2017. It will grow 10% more than its previous height each year. How long has the tree grown from 2017 until the end of 2019?
182,small_wrong_to_scheduled_wrong,False,,False,False,,,,,230,3,3,,,"Lisa and Carly go shopping together. Lisa spends $40 on t-shirts then spends half of this amount on jeans and twice this amount on coats. Carly spends only a quarter as much as Lisa on t-shirts but spends 3 times as much on jeans and a quarter of the amount Lisa spent on coats. In dollars, how much did Lisa and Carly spend in total?"
186,small_wrong_to_scheduled_wrong,False,,False,False,,,,,50,16,16,,,Christina has 3 snakes. 1 snake is 2 feet long. Another snake is 16 inches long. The last snake is 10 inches long. How many inches are all of her snakes combined?
199,small_wrong_to_scheduled_wrong,False,,False,True,3,2,3,0.9501243233680725,150,15,25,,256,"Gary bought his first used car for $6,000.  Gary borrowed the money from his dad who said he could pay him back the full amount over 5 years.  Gary decided he would pay his dad back the full amount in 2 years.  How much more is Gary spending per month to pay the loan off in 2 years instead of 5?"
211,small_wrong_to_scheduled_wrong,False,,False,True,8,7,4,0.19662708044052124,7200,300,22800,,256,"Last year Jessica paid $1000 for rent, $200 for food, and $100 for car insurance each month. This year her rent goes up by 30%, food costs increase by 50%, and the cost of her car insurance triples because she was at fault in an accident. How much more does Jessica pay for her expenses over the whole year compared to last year?"
229,small_wrong_to_scheduled_wrong,False,,False,False,,,,,15,5,5,,,Jan buys 1000 feet of cable.  She splits it up into 25-foot sections.  She gives 1/4 of that to a friend.  She then puts half of the rest in storage. How much does she keep on hand?
232,small_wrong_to_scheduled_wrong,False,,False,True,9,8,7,0.48500025272369385,8,20,16,,11,"Jolene and Phil have four children, each with the same birthday.  They gave birth to their first child exactly 15 years ago.  They gave birth to their second child exactly one year after the birth of their first child.  They gave birth to their third child on the fourth birthday of their second child. Two years after the birth of their third child, they gave birth to their fourth child.  How old, in years, is their fourth child?"
234,small_wrong_to_scheduled_wrong,False,,False,True,7,6,3,0.9917727708816528,8,0.05,2,,7,"Mark buys a loaf of bread for $4.20 and some cheese for $2.05. He gives the cashier $7.00. If the cashier only has 1 quarter and 1 dime in his till, plus a bunch of nickels, how many nickels does Mark get in his change?"
241,small_wrong_to_scheduled_wrong,False,,False,False,,,,,12,1,1,,,"Mr. Lu owns a computer store. For last month, half of their sales are laptops, one-third are netbooks, and the rest are desktop computers. If Mr. Lu's store was able to sell a total of 72 computers, how many of them are desktop computers?"
246,small_wrong_to_scheduled_wrong,False,,False,False,,,,,52,2,2,,,"The ratio of boys to girls in a family is 5:7. The total number of children in the family is 180. If the boys are given $3900 to share, how much money does each boy receive?"
256,small_wrong_to_scheduled_wrong,False,,False,True,5,4,,0.8365083932876587,108,1,8,,21,"On a road map, 1/4 inch represents 8 miles of actual road distance. The towns of Pence and Hillcrest are represented by points 3 3/8 inches apart on the map. What is the actual distance, in miles, between the towns?"
264,small_wrong_to_scheduled_wrong,False,,False,False,,,,,21600,3,3,,,An Italian restaurant earns $600 every weekday and twice as much on the weekend. How much money does it earn by the end of the month?
266,small_wrong_to_scheduled_wrong,False,,False,False,,,,,4,3,3,,,"Johns goes to the gym 3 times a week.  He spends 1 hour each day lifting weight. Additionally, he also spends a third of his weightlifting time warming up and doing cardio each day.  How many hours does he spend at the gym a week?"
267,small_wrong_to_scheduled_wrong,False,,False,True,3,2,,0.8392788767814636,2,0.5,22,,256,"Jimmy is going to sell pizzas at the carnival to make some money. The carnival only gave him 7 hours to do so. He bought a 22kg sack of flour to make his pizzas and he takes 10 min to make each pizza for the customers. At the end of the 7 hours, he saw some flour was left. Knowing that each pizza needs 0.5kg of flour to make, how many pizzas can he make to bring home with the flour left?"
271,small_wrong_to_scheduled_wrong,False,,False,True,22,21,,0.38778460025787354,250,150,150,,19,"Nadia was sent to the flower shop to buy 20 roses and 3/4 times as many Lillies as roses. If roses cost $5 each and lilies cost twice as much each, calculate the total amount of money Nadia used to buy the flowers."
280,small_wrong_to_scheduled_wrong,False,,False,True,3,2,3,0.9998177886009216,18,18.00,,,11,"The card shop has two boxes of cards. The first box contains cards that cost $1.25 each. The second box contains cards that cost $1.75 each. A boy then comes in and buys 6 cards from each box. What was the total cost, in dollars, of the cards he bought?"
284,small_wrong_to_scheduled_wrong,False,,False,False,,,,,768000,2560,2560,,,"Matt buys a massager.  At the lowest setting, it vibrates at 1600 vibrations per second.  At the highest setting, it vibrates 60% faster.  Matt uses it for 5 minutes at the highest setting.  How many vibrations does he experience?"
287,small_wrong_to_scheduled_wrong,False,,False,True,10,9,10,0.9877570867538452,18,4,90,,12,"Bran's tuition fee is $90. He does a part-time job that pays him $15 per month and he has a scholarship that takes care of 30% of his tuition fee. If he needs to pay his tuition fee within 3 months, how much does Bran still need to pay?"
