question_id,chunks,final_correct,error_chunks,error_fraction,first_error_chunk_id,first_error_index,zero_to_one_flip,transition_pattern,judge_confidence_mean,judge_confidence_min,low_confidence_chunks_lt_0p6
0,16,True,0,0.0,,,False,constant,1.0,1.0,0
1,15,True,0,0.0,,,False,constant,1.0,1.0,0
2,20,False,14,0.7,6,6,False,1->0,1.0,1.0,0
3,16,True,1,0.0625,2,2,True,"1->0,0->1",1.0,1.0,0
4,10,True,0,0.0,,,False,constant,1.0,1.0,0
5,16,False,4,0.25,12,12,False,1->0,1.0,1.0,0
6,11,True,0,0.0,,,False,constant,1.0,1.0,0
7,12,True,0,0.0,,,False,constant,1.0,1.0,0
8,14,True,0,0.0,,,False,constant,1.0,1.0,0
9,13,True,0,0.0,,,False,constant,1.0,1.0,0
10,24,True,0,0.0,,,False,constant,1.0,1.0,0
11,29,True,0,0.0,,,False,constant,1.0,1.0,0
12,19,True,0,0.0,,,False,constant,1.0,1.0,0
13,17,True,0,0.0,,,False,constant,1.0,1.0,0
14,8,True,0,0.0,,,False,constant,1.0,1.0,0
15,15,True,0,0.0,,,False,constant,1.0,1.0,0
16,26,True,0,0.0,,,False,constant,1.0,1.0,0
17,15,False,5,0.3333333333333333,10,10,False,1->0,0.9666666666666668,0.9,0
18,15,True,6,0.4,2,2,True,"1->0,0->1",1.0,1.0,0
19,11,True,0,0.0,,,False,constant,1.0,1.0,0
20,10,True,0,0.0,,,False,constant,1.0,1.0,0
21,23,False,17,0.7391304347826086,5,5,True,"1->0,0->1,1->0",0.9565217391304345,0.9,0
22,34,False,30,0.8823529411764706,0,0,True,"0->1,1->0",0.9485294117647058,0.9,0
23,16,True,0,0.0,,,False,constant,1.0,1.0,0
24,22,False,8,0.36363636363636365,13,13,True,"1->0,0->1,1->0",0.9681818181818179,0.9,0
25,13,True,0,0.0,,,False,constant,1.0,1.0,0
26,12,False,6,0.5,6,6,False,1->0,0.9916666666666667,0.9,0
27,31,True,23,0.7419354838709677,0,0,True,"0->1,1->0",0.9838709677419355,0.9,0
28,16,True,0,0.0,,,False,constant,1.0,1.0,0
29,19,True,0,0.0,,,False,constant,1.0,1.0,0
30,17,False,14,0.8235294117647058,3,3,False,1->0,1.0,1.0,0
31,16,True,0,0.0,,,False,constant,1.0,1.0,0
32,24,True,0,0.0,,,False,constant,1.0,1.0,0
33,22,False,17,0.7727272727272727,5,5,False,1->0,0.9318181818181815,0.9,0
34,7,True,0,0.0,,,False,constant,1.0,1.0,0
35,12,False,7,0.5833333333333334,5,5,False,1->0,0.9666666666666668,0.9,0
36,17,True,0,0.0,,,False,constant,1.0,1.0,0
37,10,True,0,0.0,,,False,constant,1.0,1.0,0
38,9,True,0,0.0,,,False,constant,1.0,1.0,0
39,22,True,12,0.5454545454545454,3,3,True,"1->0,0->1,1->0",0.9545454545454543,0.9,0
40,12,True,0,0.0,,,False,constant,1.0,1.0,0
41,11,True,0,0.0,,,False,constant,1.0,1.0,0
42,12,True,0,0.0,,,False,constant,1.0,1.0,0
43,14,True,0,0.0,,,False,constant,1.0,1.0,0
44,9,True,0,0.0,,,False,constant,1.0,1.0,0
45,20,True,0,0.0,,,False,constant,1.0,1.0,0
46,20,True,17,0.85,2,2,True,"1->0,0->1,1->0",0.9499999999999996,0.9,0
47,15,True,1,0.06666666666666667,6,6,True,"1->0,0->1",1.0,1.0,0
48,19,True,0,0.0,,,False,constant,1.0,1.0,0
49,17,True,0,0.0,,,False,constant,1.0,1.0,0
50,16,True,1,0.0625,2,2,True,"1->0,0->1",1.0,1.0,0
51,13,True,0,0.0,,,False,constant,1.0,1.0,0
52,31,False,18,0.5806451612903226,9,9,True,"1->0,0->1,1->0,0->1,1->0",0.9419354838709674,0.9,0
53,15,True,0,0.0,,,False,constant,1.0,1.0,0
54,22,False,11,0.5,11,11,False,1->0,0.968181818181818,0.9,0
55,13,True,0,0.0,,,False,constant,1.0,1.0,0
56,10,True,0,0.0,,,False,constant,1.0,1.0,0
57,33,True,24,0.7272727272727273,7,7,True,"1->0,0->1",0.9454545454545454,0.9,0
58,18,True,0,0.0,,,False,constant,1.0,1.0,0
59,11,True,0,0.0,,,False,constant,1.0,1.0,0
60,13,True,0,0.0,,,False,constant,1.0,1.0,0
61,15,True,0,0.0,,,False,constant,1.0,1.0,0
62,17,False,16,0.9411764705882353,1,1,False,1->0,0.9588235294117647,0.9,0
63,18,True,0,0.0,,,False,constant,1.0,1.0,0
64,27,False,18,0.6666666666666666,3,3,True,"1->0,0->1,1->0",0.9407407407407405,0.9,0
65,15,True,0,0.0,,,False,constant,1.0,1.0,0
66,12,True,0,0.0,,,False,constant,1.0,1.0,0
67,18,True,0,0.0,,,False,constant,1.0,1.0,0
68,25,True,0,0.0,,,False,constant,1.0,1.0,0
69,16,True,0,0.0,,,False,constant,1.0,1.0,0
