bin,left,right,center,count,wrong_count,wrong_rate,wrong_rate_se
Q1,3.5263128665974364e-05,0.022001935541629786,0.006899585233407345,297,54,0.18181818181818182,0.022380271087151408
Q2,0.022001935541629786,0.06254075914621353,0.04281850425081221,297,38,0.12794612794612795,0.019382375649645647
Q3,0.06254075914621353,0.10166745483875278,0.08302398061110114,297,39,0.13131313131313133,0.019597807275981257
Q4,0.10166745483875278,0.13403225243091582,0.1173565041122807,296,41,0.13851351351351351,0.02007818502279641
Q5,0.13403225243091582,0.17293418943881989,0.1536901089980546,297,29,0.09764309764309764,0.017223908988016293
Q6,0.17293418943881989,0.20974757671356203,0.19098504073290712,297,36,0.12121212121212122,0.0189381185163857
Q7,0.20974757671356203,0.2538215607404709,0.23064388843202913,296,35,0.11824324324324324,0.018767944446632937
Q8,0.2538215607404709,0.30839474201202394,0.27928130474154794,297,36,0.12121212121212122,0.0189381185163857
Q9,0.30839474201202394,0.40387656688690193,0.3524743477102081,297,42,0.1414141414141414,0.020219018118533466
Q10,0.40387656688690193,1.3540372848510742,0.5290747505647165,297,47,0.15824915824915825,0.021177966614094806
